,datetime,code,open,volume,amt,open_interest,index,index_smooth
4051,2020/1/2 14:31,IF2006.CFE,4180.6,4,5017380,14495.65385,4154.35,4155.503682
4052,2020/1/2 14:32,IF2006.CFE,4183,8,10043100,14502.03896,4154.8,4155.441172
4053,2020/1/2 14:33,IF2006.CFE,4184.6,4,5022600,14506,4154.96,4155.381297
4054,2020/1/2 14:34,IF2006.CFE,4186,7,8785620,14509.19048,4155.52,4155.314979
4055,2020/1/2 14:35,IF2006.CFE,4182.4,5,6273420,14515.7561,4155.37,4155.257448
4056,2020/1/2 14:36,IF2006.CFE,4181.8,1,1255140,14516.45,4155.27,4155.200711
4057,2020/1/2 14:37,IF2006.CFE,4183.8,0,0,14517,4155.35,4155.143222
4058,2020/1/2 14:38,IF2006.CFE,4183.8,6,7530600,14517.67347,4155.21,4155.090251
4059,2020/1/2 14:39,IF2006.CFE,4182.4,11,13794300,14523.5614,4154.93,4155.036527
4060,2020/1/2 14:40,IF2006.CFE,4180,5,6270000,14527.59459,4153.37,4154.975523
4061,2020/1/2 14:41,IF2006.CFE,4179.8,3,3760380,14531.375,4152.5,4154.899582
4062,2020/1/2 14:42,IF2006.CFE,4178,10,12531000,14538.78947,4151.31,4154.813473
4063,2020/1/2 14:43,IF2006.CFE,4178,3,3760200,14543,4151.04,4154.725314
4064,2020/1/2 14:44,IF2006.CFE,4178,1,1253640,14543.16667,4150.98,4154.635565
4065,2020/1/2 14:45,IF2006.CFE,4178.8,6,7524660,14544.7451,4150.66,4154.54318
4066,2020/1/2 14:46,IF2006.CFE,4180.6,5,6271020,14549.91045,4151.13,4154.448117
4067,2020/1/2 14:47,IF2006.CFE,4180,3,3761100,14551.07407,4150.79,4154.349038
4068,2020/1/2 14:48,IF2006.CFE,4178.2,4,5012880,14553.03846,4150.69,4154.247615
4069,2020/1/2 14:49,IF2006.CFE,4178,3,3760680,14554,4150.23,4154.144142
4070,2020/1/2 14:50,IF2006.CFE,4179.4,7,8774460,14558.52459,4150.52,4154.044519
4071,2020/1/2 14:51,IF2006.CFE,4178.8,9,11284680,14562.9,4150.08,4153.962134
4072,2020/1/2 14:52,IF2006.CFE,4179,8,10029000,14567.58,4150.8,4153.875356
4073,2020/1/2 14:53,IF2006.CFE,4180.2,4,5016360,14571.10526,4150.85,4153.804895
4074,2020/1/2 14:54,IF2006.CFE,4180.8,7,8778780,14574.41935,4151.04,4153.740418
4075,2020/1/2 14:55,IF2006.CFE,4180.8,22,27585300,14584.83607,4151.29,4153.681004
4076,2020/1/2 14:56,IF2006.CFE,4179,12,15046740,14597.03571,4151.31,4153.622887
4077,2020/1/2 14:57,IF2006.CFE,4179,16,20059680,14606.69841,4151.82,4153.55728
4078,2020/1/2 14:58,IF2006.CFE,4178.8,16,20058720,14616.29787,4152.01,4153.479038
4079,2020/1/2 14:59,IF2006.CFE,4178.4,29,36354300,14636.22,4152.01,4153.401004
4080,2020/1/3 9:30,IF2006.CFE,4179.6,49,61630260,14625.6789,4161.22,4153.315272
4081,2020/1/3 9:31,IF2006.CFE,4193.2,43,54108660,14601.32353,4162.34,4153.221004
4082,2020/1/3 9:32,IF2006.CFE,4194.8,31,38971740,14594.4086,4163.89,4153.132176
4083,2020/1/3 9:33,IF2006.CFE,4190.8,21,26406900,14588.15663,4158.57,4153.038536
4084,2020/1/3 9:34,IF2006.CFE,4193.8,31,39005340,14585.47619,4161.69,4152.947113
4085,2020/1/3 9:35,IF2006.CFE,4193,23,28926360,14585.37333,4163.72,4152.861423
4086,2020/1/3 9:36,IF2006.CFE,4190.8,31,38975220,14573.25275,4161.37,4152.772385
4087,2020/1/3 9:37,IF2006.CFE,4190.8,30,37706340,14562.36111,4159.78,4152.680251
4088,2020/1/3 9:38,IF2006.CFE,4188.8,17,21358020,14543.6875,4158.65,4152.585021
4089,2020/1/3 9:39,IF2006.CFE,4186.2,11,13816320,14539.03636,4157.24,4152.490753
4090,2020/1/3 9:40,IF2006.CFE,4186.4,35,43945320,14532.87952,4156.14,4152.403724
4091,2020/1/3 9:41,IF2006.CFE,4185.4,21,26382960,14517.19802,4152.16,4152.324226
4092,2020/1/3 9:42,IF2006.CFE,4188.2,14,17597580,14509.1875,4156.62,4152.256485
4093,2020/1/3 9:43,IF2006.CFE,4190.8,11,13829820,14505.43478,4160.25,4152.186025
4094,2020/1/3 9:44,IF2006.CFE,4191.6,9,11316060,14499.20548,4162.29,4152.124477
4095,2020/1/3 9:45,IF2006.CFE,4190.4,9,11312640,14494.06154,4163.3,4152.058577
4096,2020/1/3 9:46,IF2006.CFE,4189,8,10056060,14490.55294,4161.59,4151.991799
4097,2020/1/3 9:47,IF2006.CFE,4189,11,13822800,14487.07216,4161.62,4151.924477
4098,2020/1/3 9:48,IF2006.CFE,4188.2,17,21354180,14475.88679,4161.29,4151.85364
4099,2020/1/3 9:49,IF2006.CFE,4188.2,17,21365040,14464.59259,4159.21,4151.780711
4100,2020/1/3 9:50,IF2006.CFE,4189.4,12,15077340,14455.4321,4159.3,4151.713556
4101,2020/1/3 9:51,IF2006.CFE,4188,12,15069840,14451.73016,4158.22,4151.658452
4102,2020/1/3 9:52,IF2006.CFE,4186,14,17587860,14445.18644,4155.94,4151.611464
4103,2020/1/3 9:53,IF2006.CFE,4187.6,16,20107680,14439.13699,4157.33,4151.558787
4104,2020/1/3 9:54,IF2006.CFE,4188.2,13,16331100,14433.94643,4157.26,4151.500962
4105,2020/1/3 9:55,IF2006.CFE,4186.6,15,18840420,14427.56338,4155,4151.440377
4106,2020/1/3 9:56,IF2006.CFE,4186,10,12557940,14425.45455,4154.79,4151.379791
4107,2020/1/3 9:57,IF2006.CFE,4186.8,12,15069660,14422.98413,4153.51,4151.326276
4108,2020/1/3 9:58,IF2006.CFE,4185.2,17,21344400,14416.46809,4153.33,4151.272803
4109,2020/1/3 9:59,IF2006.CFE,4184.4,20,25097220,14407.39683,4152.67,4151.223264
